city_name,date,pm10
Navi Mumbai,1/15/2011,172
Mumbai Metro,1/15/2011,146.6
Aurangabad,1/15/2011,153
Mumbai,1/15/2011,163
Panvel,1/15/2011,143
Sangli,1/15/2011,126
Dahanu,1/15/2011,160.3333
Solapur,1/15/2011,200
Amravati,1/15/2011,141
Jalgaon,1/15/2011,118
Thane,1/15/2011,55
Kolhapur,1/15/2011,98
Chandrapur,1/15/2011,160.3333
Latur,1/15/2011,115
Lote,1/15/2011,213
Kalyan,1/15/2012,65
Mumbai Metro,1/15/2012,120.8
Raigad,1/15/2012,207.5
Ulhasnagar,1/15/2012,133
Mumbai,1/15/2012,117.5
Lote,1/15/2012,29
Sangli,1/15/2012,104
Chandrapur,1/15/2012,191
Navi Mumbai,1/15/2012,230.5
Dahanu,1/15/2012,191
Pune,1/15/2012,207.5
Thane,1/15/2012,58
Jalgaon,1/15/2013,115
Akola,1/15/2013,140
Nagpur,1/15/2013,80.5
Nashik,1/15/2013,145.5
Mumbai,1/15/2013,180.5
Chandrapur,1/15/2013,167
Aurangabad,1/15/2013,87
Amravati,1/15/2013,112
Dahanu,1/15/2013,167
Solapur,1/15/2013,123.5
Thane,1/15/2013,126
Kalyan,1/15/2013,66
Pune,1/15/2013,175.6667
Mumbai Metro,1/15/2013,127.2143
Taloja,1/15/2013,152
Badlapur,1/15/2013,131
Nanded,1/15/2013,111
Kolhapur,1/15/2013,222
Latur,1/15/2013,145
Raigad,1/15/2013,175.6667
Jalna,1/15/2013,159
Navi Mumbai,1/15/2013,137
Dombivali,1/15/2013,98
Raigad,1/16/2010,121
Aurangabad,1/16/2010,99
Dahanu,1/16/2010,108
Navi Mumbai,1/16/2010,128
Latur,1/16/2010,64
Sangli,1/16/2010,114
Amravati,1/16/2010,143
Nashik,1/16/2010,105.5
Panvel,1/16/2010,116
Nagpur,1/16/2010,73.5
Pune,1/16/2010,121
Akola,1/16/2010,116
Kolhapur,1/16/2010,91
Jalgaon,1/16/2010,105
Chandrapur,1/16/2010,108
Mumbai Metro,1/16/2010,150.6667
Mumbai,1/16/2010,208
Taloja,1/16/2011,233
Navi Mumbai,1/16/2011,146
Dahanu,1/16/2011,248
Sangli,1/16/2011,136
Mumbai Metro,1/16/2011,144.6
Mumbai,1/16/2011,161
Ulhasnagar,1/16/2011,128
Thane,1/16/2011,55
Solapur,1/16/2011,233
Pune,1/16/2011,173.6667
Raigad,1/16/2011,173.6667
Chandrapur,1/16/2011,248
Amravati,1/16/2012,82
Raigad,1/16/2012,198.3333
Mumbai,1/16/2012,165
Nashik,1/16/2012,158.5
Mumbai Metro,1/16/2012,151.4667
Kalyan,1/16/2012,67
Sangli,1/16/2012,101
Akola,1/16/2012,131
Nagpur,1/16/2012,83
Ulhasnagar,1/16/2012,110
Navi Mumbai,1/16/2012,265
Taloja,1/16/2012,150.3333
Latur,1/16/2012,90
Aurangabad,1/16/2012,96
Jalgaon,1/16/2012,119
Dahanu,1/16/2012,141
Kolhapur,1/16/2012,66
Chandrapur,1/16/2012,141
Pune,1/16/2012,198.3333
Nanded,1/16/2012,55
Solapur,1/16/2012,133.5
Chandrapur,1/16/2013,155
Akola,1/16/2013,161
Raigad,1/16/2013,202.5
Taloja,1/16/2013,119
Ulhasnagar,1/16/2013,124
Latur,1/16/2013,133
Amravati,1/16/2013,119
Jalna,1/16/2013,183
Aurangabad,1/16/2013,106
Kalyan,1/16/2013,65
Navi Mumbai,1/16/2013,259.3333
Nagpur,1/16/2013,95.5
Kolhapur,1/16/2013,184
Nanded,1/16/2013,35
Mumbai,1/16/2013,256.5
Solapur,1/16/2013,119
Dahanu,1/16/2013,155
Sangli,1/16/2013,141
Jalgaon,1/16/2013,169
Mumbai Metro,1/16/2013,168.9762
Panvel,1/16/2013,256
Nashik,1/16/2013,151.5
Thane,1/16/2013,103
Pune,1/16/2013,202.5
Mumbai Metro,1/17/2010,148.625
Thane,1/17/2010,54
Raigad,1/17/2010,138.5
Navi Mumbai,1/17/2010,154
Ulhasnagar,1/17/2010,126
Pune,1/17/2010,138.5
Mumbai,1/17/2010,260.5
Sangli,1/17/2010,84
Pune,1/17/2011,231
Nagpur,1/17/2011,43.5
Navi Mumbai,1/17/2011,220.3333
Dahanu,1/17/2011,166
Ulhasnagar,1/17/2011,103
Mumbai,1/17/2011,221
Sangli,1/17/2011,148
Taloja,1/17/2011,196.6667
Raigad,1/17/2011,231
Kolhapur,1/17/2011,61
Akola,1/17/2011,131
Latur,1/17/2011,108
Nashik,1/17/2011,125
Amravati,1/17/2011,97
Aurangabad,1/17/2011,114
Solapur,1/17/2011,134
Chandrapur,1/17/2011,166
Mumbai Metro,1/17/2011,185.25
Nanded,1/17/2012,59
Badlapur,1/17/2012,132
Kolhapur,1/17/2012,144
Thane,1/17/2012,60
Jalgaon,1/17/2012,125
Mumbai Metro,1/17/2012,110.5
Amravati,1/17/2012,95
Latur,1/17/2012,88
Taloja,1/17/2012,113.3333
Mumbai,1/17/2012,115
Bhiwandi,1/17/2012,45
Lote,1/17/2012,46
Chandrapur,1/17/2012,138.6667
Aurangabad,1/17/2012,97
Dahanu,1/17/2012,138.6667
Akola,1/17/2012,134
Jalna,1/17/2012,167
Navi Mumbai,1/17/2012,197.6667
Raigad,1/17/2012,159.3333
Nashik,1/17/2012,128
Solapur,1/17/2012,138
Nagpur,1/17/2012,76
Pune,1/17/2012,159.3333
Nagpur,1/17/2013,59
Badlapur,1/17/2013,155
Nashik,1/17/2013,128
Jalgaon,1/17/2013,152
Solapur,1/17/2013,96
Navi Mumbai,1/17/2013,174.3333
Kolhapur,1/17/2013,82
Mumbai,1/17/2013,244
Chandrapur,1/17/2013,144
Aurangabad,1/17/2013,105
Amravati,1/17/2013,59
Latur,1/17/2013,150
Akola,1/17/2013,163
Dahanu,1/17/2013,144
Mumbai Metro,1/17/2013,139.7619
Taloja,1/17/2013,117
Pune,1/17/2013,133.6667
Jalna,1/17/2013,127
Thane,1/17/2013,112
Nanded,1/17/2013,37
Raigad,1/17/2013,133.6667
Ambernath,1/17/2013,110
Bhiwandi,1/17/2013,66
Sangli,1/17/2013,152
Jalgaon,1/18/2010,140
Sangli,1/18/2010,84
Thane,1/18/2010,50
Amravati,1/18/2010,83
Mumbai Metro,1/18/2010,163.0333
Taloja,1/18/2010,204
Akola,1/18/2010,95
Aurangabad,1/18/2010,82
Pune,1/18/2010,157.6667
Latur,1/18/2010,123
Ulhasnagar,1/18/2010,85
Navi Mumbai,1/18/2010,198.6667
Nagpur,1/18/2010,88.5
Solapur,1/18/2010,118
Nashik,1/18/2010,109
Raigad,1/18/2010,157.6667
Mumbai,1/18/2010,277.5
Kolhapur,1/18/2010,51
Raigad,1/18/2011,170
Mumbai,1/18/2011,220.5
Nashik,1/18/2011,115
Solapur,1/18/2011,158
Latur,1/18/2011,145.5
Taloja,1/18/2011,193
Badlapur,1/18/2011,103
Thane,1/18/2011,55
Akola,1/18/2011,132
Mumbai Metro,1/18/2011,151.3
Dahanu,1/18/2011,195.6667
Kolhapur,1/18/2011,111
Amravati,1/18/2011,150
Lote,1/18/2011,113
Navi Mumbai,1/18/2011,185
Nagpur,1/18/2011,49
Chandrapur,1/18/2011,195.6667
Aurangabad,1/18/2011,76
Pune,1/18/2011,170
Jalna,1/18/2011,126
Mumbai Metro,1/18/2012,108.5714
Raigad,1/18/2012,172
Dahanu,1/18/2012,158
Mumbai,1/18/2012,87.5
Navi Mumbai,1/18/2012,168
Panvel,1/18/2012,101
Amravati,1/18/2012,114
Sangli,1/18/2012,85
Pune,1/18/2012,172
Jalna,1/18/2012,90
Thane,1/18/2012,54
Nagpur,1/18/2012,70.5
Jalgaon,1/18/2012,145
Nashik,1/18/2012,189
Aurangabad,1/18/2012,64
Akola,1/18/2012,144
Taloja,1/18/2012,162
Chandrapur,1/18/2012,158
Ulhasnagar,1/18/2012,137.5
Latur,1/18/2012,152
Nanded,1/18/2012,25
Bhiwandi,1/18/2012,50
Kolhapur,1/18/2012,127
Lote,1/18/2012,33
Solapur,1/18/2012,162
Latur,1/18/2013,126
Nanded,1/18/2013,62
Jalgaon,1/18/2013,128
Solapur,1/18/2013,97
Amravati,1/18/2013,107
Pune,1/18/2013,104.25
Jalna,1/18/2013,75
Thane,1/18/2013,145
Aurangabad,1/18/2013,122
Taloja,1/18/2013,148
Raigad,1/18/2013,104.25
Navi Mumbai,1/18/2013,103.3333
Mumbai Metro,1/18/2013,137.8667
Akola,1/18/2013,168
Nagpur,1/18/2013,61
Mumbai,1/18/2013,159
Kolhapur,1/18/2013,226
Chandrapur,1/18/2013,168.3333
Dahanu,1/18/2013,168.3333
Nashik,1/18/2013,120
Sangli,1/18/2013,146
Dombivali,1/18/2013,134
Mumbai Metro,1/19/2010,137.9583
Mumbai,1/19/2010,275.5
Solapur,1/19/2010,65
Latur,1/19/2010,118
Dahanu,1/19/2010,214.75
Chandrapur,1/19/2010,214.75
Pune,1/19/2010,164
Raigad,1/19/2010,164
Akola,1/19/2010,89
Amravati,1/19/2010,125
Thane,1/19/2010,51
Nagpur,1/19/2010,115
Jalgaon,1/19/2010,142
Jalna,1/19/2010,80
Aurangabad,1/19/2010,64
Nashik,1/19/2010,115.5
Navi Mumbai,1/19/2010,138.3333
Taloja,1/19/2010,87
Kolhapur,1/19/2010,97
Ulhasnagar,1/19/2011,122
Aurangabad,1/19/2011,95
Solapur,1/19/2011,176
Taloja,1/19/2011,176
Mumbai,1/19/2011,256.5
Jalgaon,1/19/2011,155
Latur,1/19/2011,233
Mumbai Metro,1/19/2011,175.3611
Thane,1/19/2011,55
Navi Mumbai,1/19/2011,165.6667
Sangli,1/19/2011,167
Nashik,1/19/2011,119.5
Panvel,1/19/2011,277
Jalna,1/19/2011,167
Raigad,1/19/2011,185.6667
Lote,1/19/2011,268
Amravati,1/19/2011,147
Akola,1/19/2011,150
Nagpur,1/19/2011,106.5
Pune,1/19/2011,185.6667
Kolhapur,1/19/2011,97
Chandrapur,1/19/2012,140.5
Akola,1/19/2012,145
Navi Mumbai,1/19/2012,94.33334
Solapur,1/19/2012,100
Dahanu,1/19/2012,140.5
Sangli,1/19/2012,83
Jalna,1/19/2012,106
Bhiwandi,1/19/2012,63
Pune,1/19/2012,84.33334
Taloja,1/19/2012,122.6667
Lote,1/19/2012,53
Badlapur,1/19/2012,133
Amravati,1/19/2012,68
Nanded,1/19/2012,25
Mumbai,1/19/2012,96.5
Mumbai Metro,1/19/2012,95.08333
Latur,1/19/2012,198
Raigad,1/19/2012,84.33334
Nagpur,1/19/2012,70.5
Thane,1/19/2012,61
Kolhapur,1/19/2012,69
Nashik,1/19/2012,140
Jalgaon,1/19/2012,147
Aurangabad,1/19/2012,71
Raigad,1/19/2013,256
Bhiwandi,1/19/2013,63
Mumbai Metro,1/19/2013,149
Solapur,1/19/2013,119
Panvel,1/19/2013,261
Pune,1/19/2013,256
Aurangabad,1/19/2013,93
Akola,1/19/2013,170
Latur,1/19/2013,77
Thane,1/19/2013,153
Navi Mumbai,1/19/2013,150
Mumbai,1/19/2013,148
Nashik,1/19/2013,105
Jalgaon,1/19/2013,125
Nanded,1/19/2013,61
Kolhapur,1/19/2013,194
Nagpur,1/19/2013,51
Amravati,1/19/2013,106
Taloja,1/19/2013,119
